Factor	Value	Class	Observed	Expected	Ratio	P-value	AdjP
Strain	A/J	PAM_0000165x428	42	3.5716195683472844	11.759371118978077	1.5039991217233133e-36	6.852219998571415e-33
Strain	A/J	MPATH:428	42	3.5716195683472844	11.759371118978077	1.5039991217233133e-36	6.852219998571415e-33
Strain	KK/HlJ	PAM_0001876x811	56	8.013359384349659	6.988330026651463	2.3890848707624217e-35	1.0884670671193593e-31
Strain	C57BL/10J	MA:0001876	74	10.857780144517491	6.815389427217812	4.463896846471231e-35	2.033751403252293e-31
Strain	KK/HlJ	MPATH:811	58	9.048715686463352	6.409749406401013	6.955847857463055e-35	3.169084283860168e-31
Strain	SJL/J	PAM_0001324x644	28	3.64238449330687	7.687271909775563	2.022141909668059e-34	9.212878540447676e-31
Strain	SJL/J	MA:0001324	28	3.799865084595078	7.36868267073849	7.166615911138691e-34	3.265110209114788e-30
Both	KK/HlJ_F	MPATH:43	44	6.4966769315934325	6.772693249686986	7.585147590987288e-34	3.4557932424538085e-30
Both	NON/ShiLtJ_F	MA:0000377	64	5.258826545110016	12.170015392409393	3.333293557705201e-33	1.5186485448904897e-29
Sex	F	MPATH:329	126	64.41164749579461	1.956167943200435	4.03277724466047e-33	1.8373333126673102e-29
Both	A/J_F	PAM_0000165x591	88	15.65500376288032	5.621205930889482	2.1557300176566518e-32	9.821505960443705e-29
Both	KK/HlJ_M	PAM_0000163x555	46	4.039962309363609	11.38624484030053	3.64988888951885e-32	1.662889378064788e-28
Both	SJL/J_F	MA:0002434	48	9.29014485564942	5.166765507516363	5.201486271307515e-32	2.3697971452077034e-28
Strain	KK/HlJ	PAM_0001876x181	62	10.058917315895496	6.163685221074953	5.406035666177705e-32	2.4629898495105626e-28
Strain	BTBR T<+> tf/J	PAM_0001551x474	30	1.6058466152431223	18.681734429198926	2.428255113379316e-31	1.1063130296556163e-27
Both	SJL/J_F	PAM_0001324x644	26	2.600845365889798	9.996749649552852	2.6330719382938863e-31	1.1996275750866946e-27
Strain	SJL/J	MA:0000276	60	12.444643741445935	4.821351357787333	4.704083167990714e-31	2.143180291336569e-27
Both	SJL/J_F	MA:0001324	26	2.7082200914773233	9.600401415609136	7.787083629168783e-31	3.5477953014492976e-27
Strain	KK/HlJ	PAM_0000415x555	46	1.6057992336105236	28.64617135018325	7.968358517937513e-31	3.630384140772331e-27
Strain	MRL/MpJ	PAM_0000124x214	102	26.19544052254409	3.8938073941615015	8.548122227031462e-31	3.894524486635534e-27
Strain	MRL/MpJ	MA:0000124	121	31.029004275763768	3.899577276945076	1.2758494100840707e-30	5.812769912343026e-27
Strain	MRL/MpJ	PAM_0000124x134	69	6.245397119240298	11.048136520803547	1.594434495917425e-30	7.264243563399788e-27
Strain	A/J	PAM_0000165x554	22	1.207346218622183	18.221782336061217	2.1192835800505725e-30	9.655455990710408e-27
Strain	PWD/PhJ	PAM_0000129x762	78	22.27627807018348	3.5014825975081547	1.0039561505804376e-29	4.5740242220444736e-26
Strain	SWR/J	PAM_0000415x585	60	4.866598552056933	12.32893968100989	1.5446118350550772e-29	7.037251520510931e-26
Strain	SWR/J	MPATH:585	60	4.866598552056933	12.32893968100989	1.5446118350550772e-29	7.037251520510931e-26
Strain	PWD/PhJ	MPATH:762	78	22.543083031639007	3.460041374577192	1.648466557728486e-29	7.510413637010982e-26
Both	SJL/J_F	MPATH:591	80	25.222528974477385	3.17176759241517	6.626325126646305e-29	3.018953727700056e-25
Both	C57BR/cdJ_M	PAM_0000338x214	20	0.7567567567567568	26.428571428571427	9.359439281738834e-29	4.264160536760213e-25
Both	KK/HlJ_F	MA:0000163	62	7.676069258244798	8.077050625019615	1.6472001222505487e-28	7.5046437569735e-25
Both	A/J_F	MA:0000165	100	27.668152183954774	3.6142637692296518	2.7833697765291744e-28	1.268103270186692e-24
Both	NON/ShiLtJ_F	MA:0002703	46	2.563725812243887	17.94263636942468	3.2004996831078524e-28	1.4581476556239376e-24
Both	C57L/J_M	PAM_0000253x555	34	4.53224968223428	7.50179323378294	3.6602031342926234e-28	1.6675885479837194e-24
Strain	KK/HlJ	PAM_0001459x590	62	9.858726874294794	6.288844471557077	3.9921554572500555e-28	1.8188260263231254e-24
Strain	KK/HlJ	MPATH:590	62	10.001170801901926	6.199274187799036	3.9921554572500555e-28	1.8188260263231254e-24
Both	A/J_F	MPATH:428	32	2.2801278278321213	14.034300888483372	4.417882215406389e-28	2.0127871373391507e-24
Both	A/J_F	PAM_0000165x428	32	2.2801278278321213	14.034300888483372	4.417882215406389e-28	2.0127871373391507e-24
Sex	M	PAM_0000358x743	148	87.32528342657331	1.694812707071767	4.701915086081307e-28	2.1421925132186434e-24
Sex	M	MPATH:743	148	87.32528342657331	1.694812707071767	4.701915086081307e-28	2.1421925132186434e-24
Both	MRL/MpJ_F	MA:0002417	60	12.435303503630747	4.824972706334168	6.589883048538506e-28	3.0023507169141436e-24
Strain	MRL/MpJ	PAM_0002417x127	79	9.522770552441804	8.29590501681709	9.277595242080196e-28	4.226872392291737e-24
Both	SJL/J_F	MA:0000276	44	7.960882331151032	5.527025544370559	2.1727380632097723e-27	9.898994615983723e-24
Strain	C57BR/cdJ	MA:0000338	34	4.810268128120244	7.068213058902086	2.278207197390034e-27	1.0379511991308996e-23
Strain	SJL/J	MPATH:591	96	36.55613457138462	2.6260982219697486	2.5184289486446016e-27	1.1473962290024805e-23
Both	RIIIS/J_F	PAM_0001459x803	24	1.437515482549153	16.695472355845997	3.757810611541476e-27	1.7120585146182963e-23
Strain	KK/HlJ	MA:0001459	62	11.442899526106853	5.418207147458357	4.4811886745114026e-27	2.041629560107395e-23
Strain	BTBR T<+> tf/J	MA:0001551	32	2.490265494870555	12.850035494574191	4.499986231739729e-27	2.0501937271806208e-23
Both	MRL/MpJ_F	PAM_0002417x127	58	5.896434922075867	9.836452155666432	6.033775873646283e-27	2.7489882880332463e-23
Strain	MRL/MpJ	MA:0002417	81	23.065065260224685	3.511804501142389	9.33818779222628e-27	4.254478358138293e-23
Strain	KK/HlJ	MA:0001876	62	12.063449737202658	5.139491716767986	1.0155268474356574e-26	4.626740316916855e-23
Both	RIIIS/J_F	MPATH:803	24	1.5983470105291695	15.015512802851395	1.2046934344613732e-26	5.488583287406017e-23
Strain	NON/ShiLtJ	PAM_0000377x474	64	5.251345544572089	12.187352642629252	1.3672335011840862e-26	6.229115831394697e-23
Strain	C57L/J	PAM_0000253x555	54	9.151210407856162	5.900858749094207	3.0103549661312226e-26	1.371517722569385e-22
Both	KK/HlJ_F	PAM_0000061x555	14	0.17509022375491218	79.95877610846465	5.290237377415913e-26	2.4102321491506903e-22
Sex	F	MA:0000145	160	87.23838812941158	1.8340549777541977	9.909803066267406e-26	4.51490627699143e-22
Both	KK/HlJ_F	PAM_0000415x555	34	0.863092943561794	39.39320817488034	1.7227825843758732e-25	7.848997454416479e-22
Both	C57L/J_F	MA:0000176	20	0.9967118453765339	20.06598004505954	2.0499837674164187e-25	9.339726044349204e-22
Both	C57L/J_F	PAM_0000176x270	20	0.9848424091747534	20.307817589576548	2.0499837674164187e-25	9.339726044349204e-22
Both	MRL/MpJ_F	MA:0000124	76	17.535304272949958	4.334113558396472	4.67720542500386e-25	2.1309347916317587e-21
Both	C3H/HeJ_M	PAM_0000118x270	42	1.6962760769792746	24.760120460340115	5.241990695587548e-25	2.388250960909687e-21
Both	KK/HlJ_F	MPATH:555	64	12.605773203485851	5.077038827122655	5.515404279459364e-25	2.5128181897216862e-21
Strain	C57L/J	MA:0000253	88	19.979846267538942	4.404438293550473	9.16935441316655e-25	4.1775578706386804e-21
Strain	MRL/MpJ	PAM_0001247x613	102	28.184880924315607	3.6189615373539774	9.48296662495347e-25	4.320439594328801e-21
Both	DBA/2J_M	PAM_0001876x181	30	3.0246066012436206	9.918645283543642	9.966728866025144e-25	4.540841671361055e-21
Both	C57BL/10J_M	PAM_0001876x127	24	1.163796877667039	20.6221553439039	1.1750523192398748e-24	5.35353836645687e-21
Strain	KK/HlJ	MPATH:492	92	36.20900575250935	2.540804368637607	1.3934139299196857e-24	6.3483938647140876e-21
Strain	KK/HlJ	PAM_0000368x492	92	36.1585553020589	2.5443494418252226	1.3934139299196857e-24	6.3483938647140876e-21
Both	MRL/MpJ_F	PAM_0000129x594	36	8.090034586694845	4.449919170828622	2.5343005418092276e-24	1.154627326848284e-20
Both	SJL/J_F	MPATH:14	76	40.8840821525783	1.8589141787840566	3.1881584321918353e-24	1.4525249817066e-20
Both	MRL/MpJ_F	MPATH:594	36	8.200415664224412	4.39002136892348	5.615099909242256e-24	2.5582395186507717e-20
Both	MRL/MpJ_F	MPATH:736	50	11.463582111143301	4.361638405450679	6.602928083335397e-24	3.008294034767607e-20
Strain	SJL/J	MPATH:14	108	63.55977143102662	1.699187985866166	7.730754598637748e-24	3.522131795139358e-20
Strain	PWD/PhJ	PAM_0000346x181	30	2.036260536731181	14.732888772749655	1.4431064012517563e-23	6.574792764103002e-20
Strain	NON/ShiLtJ	MA:0002703	56	4.235329829101884	13.222110735086478	1.5082744852088163e-23	6.871698554611367e-20
Strain	A/J	MPATH:591	126	46.19645442972309	2.7274820450058352	2.606312885821685e-23	1.1874361507803598e-19
Both	A/J_M	PAM_0000165x14	72	16.43533842211977	4.380804225065279	3.0788680697854933e-23	1.4027322925942708e-19
Strain	C57BR/cdJ	PAM_0000253x555	42	8.939241297392567	4.698385310647194	5.601861503568855e-23	2.5522081010259706e-19
Strain	AKR/J	MA:0002434	32	3.7296232896742922	8.579955002049163	9.977877479510484e-23	4.545920979664977e-19
Strain	MRL/MpJ	MPATH:613	102	29.47271475220878	3.4608281204348774	1.0600217703770276e-22	4.829459185837737e-19
Both	DBA/2J_F	PAM_0001876x811	24	2.0946213170203936	11.457918338260821	1.7971645312863818e-22	8.187881604540756e-19
Both	KK/HlJ_F	PAM_0001876x811	32	4.344806036647892	7.365115894722118	2.016473834357798e-22	9.187054789334127e-19
Sex	M	MPATH:474	1394	1256.9534563868792	1.1090307225910034	2.585437330120446e-22	1.1779252476028752e-18
Both	C57L/J_M	MA:0000253	54	10.026884130374384	5.385521493802656	2.655346395247725e-22	1.2097758176748635e-18
Strain	NON/ShiLtJ	PAM_0002703x554	40	2.12602453383559	18.81445832980838	2.7330226042961565e-22	1.2451650985173289e-18
Strain	NON/ShiLtJ	PAM_0000368x647	104	47.34618510937348	2.196586689291897	2.814977904271218e-22	1.2825039331859668e-18
Strain	NON/ShiLtJ	MPATH:647	104	47.34618510937348	2.196586689291897	2.814977904271218e-22	1.2825039331859668e-18
Both	BALB/cByJ_F	MPATH:754	14	0.940627420918464	14.883682623593806	2.954928724531034e-22	1.3462655268963391e-18
Both	BALB/cByJ_F	PAM_0000141x754	14	0.940627420918464	14.883682623593806	2.954928724531034e-22	1.3462655268963391e-18
Sex	F	MPATH:43	356	238.7060984595461	1.4913737114275356	3.0051423328821666e-22	1.369142846861115e-18
Both	DBA/2J_F	MPATH:811	30	2.8042029840662748	10.698226972320695	3.0461315111456175e-22	1.3878175164779432e-18
Strain	PWD/PhJ	MA:0000129	94	39.044324892004624	2.407520177644281	3.1323933653520363e-22	1.4271184172543878e-18
Both	KK/HlJ_F	MPATH:811	32	4.931708268154873	6.488623872306286	3.617136376280259e-22	1.647967333033286e-18
Both	PWD/PhJ_F	MPATH:637	20	1.3585585585585584	14.721485411140584	3.7332556396672695e-22	1.700871269432408e-18
Both	DBA/2J_M	MA:0001876	30	4.240783255482795	7.074164887161777	5.988659113765213e-22	2.7284330922314312e-18
Both	KK/HlJ_M	MA:0000163	48	6.6456514920828145	7.222768160079414	7.594671260232367e-22	3.4601322261618663e-18
Strain	KK/HlJ	PAM_0000127x134	122	88.4263537117204	1.3796791892803064	9.061380379855307e-22	4.128364901062078e-18
Strain	KK/HlJ	MA:0000127	122	96.08705936291801	1.2696818989871421	9.061380379855307e-22	4.128364901062078e-18
Strain	KK/HlJ	MPATH:213	86	37.404446936136395	2.299191862048774	9.061380379855307e-22	4.128364901062078e-18
Both	C3H/HeJ_M	MA:0000118	44	3.041175755821876	14.468088506811414	1.1988943985443e-21	5.462162879767831e-18
Strain	KK/HlJ	MPATH:43	46	12.173521990235416	3.7786928086134286	1.216943924599944e-21	5.544396520477344e-18
Strain	SJL/J	PAM_0000276x14	28	8.882549511224104	3.1522481202743466	1.7935269033084187e-21	8.171308571473156e-18
Both	DBA/2J_M	PAM_0001876x811	26	2.0860226607716443	12.46391062232387	1.8359255570742402e-21	8.364476838030239e-18
Strain	DBA/2J	MPATH:181	82	28.51806468653737	2.8753704327878196	2.002843137939433e-21	9.124953336452057e-18
Both	DBA/2J_M	MPATH:811	30	3.047872078865969	9.842932781864715	2.937961072083589e-21	1.3385350644412832e-17
Both	C57L/J_F	PAM_0000253x642	32	3.6719235056422184	8.714778494385659	3.547555675484593e-21	1.6162663657507804e-17
Both	RIIIS/J_F	MA:0001459	32	8.007640049381159	3.9961836199759007	4.835262586128525e-21	2.2029456342401558e-17
Strain	129S1/SvImJ	PAM_0002417x591	44	19.95124958341716	2.205375649080717	5.019381257243886e-21	2.2868301008003146e-17
Strain	NOD.B10Sn-H2<b>/J	PAM_0001247x474	40	13.106502156008311	3.0519203006168287	6.0749735592215095e-21	2.76775795358132e-17
Both	RIIIS/J_F	PAM_0001247x613	42	10.876495889393958	3.861537799224071	8.472538439559301e-21	3.8600885130632175e-17
Both	RIIIS/J_F	MPATH:613	42	11.208840103043809	3.747042478426891	8.472538439559301e-21	3.8600885130632175e-17
Both	DBA/2J_F	PAM_0001876x181	28	3.1214711406759195	8.970129383908677	8.598394802630904e-21	3.91742867207864e-17
Strain	CBA/J	PAM_0000216x14	24	2.2991066728535388	10.438837085454749	1.0396942198766464e-20	4.736846865758001e-17
Both	PWD/PhJ_F	PAM_0000129x762	50	12.382077237049415	4.038094662371428	1.442169671179941e-20	6.570525021895811e-17
Both	KK/HlJ_F	PAM_0001876x181	36	5.410991889345324	6.653123999480924	1.448540479215029e-20	6.599550423303671e-17
Strain	KK/HlJ	PAM_0000061x555	14	0.34424572940893416	40.66862361382909	1.7685528064570277e-20	8.057526586218218e-17
Both	PWD/PhJ_F	MPATH:762	50	12.528323976268855	3.9909568187021645	1.9395062110615764e-20	8.836390297596542e-17
Strain	NON/ShiLtJ	MA:0000377	66	8.988174650355834	7.342981480381795	2.2389701409388008e-20	1.0200747962117176e-16
Both	C57L/J_F	MPATH:642	32	3.948128494013379	8.105106013778983	4.699150034814605e-20	2.140932755861534e-16
Both	NON/ShiLtJ_F	PAM_0002703x554	32	1.243598788157135	25.731771616969954	5.59411487522145e-20	2.5486787371508923e-16
Strain	KK/HlJ	PAM_0000384x43	34	7.587160237985913	4.481255032650482	5.74828168317265e-20	2.6189171348534593e-16
Strain	KK/HlJ	MPATH:134	128	94.69764370224559	1.351670379491868	7.445993202213173e-20	3.3923945029283214e-16
Both	MRL/MpJ_F	PAM_0000124x134	48	3.9391439556785013	12.185388637753453	1.052685326254563e-19	4.796034346415789e-16
Both	BUB/BnJ_M	PAM_0002784x134	14	0.49934296977660975	28.03684210526316	1.771804147661317e-19	8.07233969674496e-16
Strain	KK/HlJ	MA:0000129	106	37.47027664858736	2.828908924108417	2.324134563179578e-19	1.0588757069846158e-15
Strain	CBA/J	MA:0000216	24	3.2671527569713232	7.345845690499085	2.330689649455691e-19	1.0618622042920128e-15
Strain	C3H/HeJ	PAM_0000118x270	44	3.361499971528163	13.089394726365942	2.7433429070428323e-19	1.2498670284487144e-15
Strain	KK/HlJ	MPATH:474	112	87.09719554314948	1.2859197050094826	3.613458976872937e-19	1.64629190986331e-15
Strain	KK/HlJ	MPATH:127	106	77.28224928677093	1.3715956895440016	3.613458976872937e-19	1.64629190986331e-15
Both	KK/HlJ_M	MPATH:555	50	11.132801714867472	4.491232421145768	3.8118694647993703e-19	1.7366877281625931e-15
Both	RIIIS/J_M	MA:0000358	44	12.545900313724161	3.5071217608725695	4.0073628525183723e-19	1.8257545156073705e-15
Both	A/J_F	MPATH:811	28	8.783986567632198	3.187618717812731	4.050990407151444e-19	1.845631229498198e-15
Strain	C3H/HeJ	PAM_0000253x213	52	11.017284087489228	4.719856507925492	4.366956162441167e-19	1.989585227608196e-15
Both	C57L/J_M	PAM_0000253x642	36	3.5724982643772147	10.076981802614199	4.628363336265112e-19	2.108682336002385e-15
Both	C57L/J_M	PAM_0002417x591	46	9.76197494007653	4.712161246302008	6.104678823448024e-19	2.78129167196292e-15
Both	129S1/SvImJ_M	PAM_0001247x474	54	13.450318893352229	4.0147747000027865	6.111746733677449e-19	2.7845118118634457e-15
Both	A/J_M	MA:0000165	74	21.059407775684065	3.513868993288739	6.260202044237908e-19	2.852148051354791e-15
Both	PWD/PhJ_M	MPATH:353	26	1.9905243057974316	13.06188521500321	6.411269553153392e-19	2.9209744084166854e-15
Both	PWD/PhJ_M	PAM_0000358x353	26	1.9905243057974316	13.06188521500321	6.411269553153392e-19	2.9209744084166854e-15
Both	BUB/BnJ_M	MA:0002784	16	0.9329829172141918	17.14929577464789	7.365842414227558e-19	3.3558778039220756e-15
Strain	SJL/J	MPATH:737	28	3.247133047645414	8.622991293905734	7.680834010465019e-19	3.4993879751678627e-15
Strain	SJL/J	PAM_0000276x737	28	3.247133047645414	8.622991293905734	7.680834010465019e-19	3.4993879751678627e-15
Strain	MRL/MpJ	PAM_0000120x214	41	6.28619302809206	6.522230516431345	7.896783870016833e-19	3.597774731179669e-15
Both	KK/HlJ_F	PAM_0000116x43	24	2.1978800660458058	10.919613117552075	8.074636713877707e-19	3.678804486842683e-15
Strain	RIIIS/J	PAM_0001247x613	60	20.435529198702753	2.936062942955683	8.092149393225846e-19	3.686783263553695e-15
Strain	RIIIS/J	MPATH:613	60	20.97558854588376	2.860468008740302	8.092149393225846e-19	3.686783263553695e-15
Both	C57BL/10J_F	MA:0001876	38	4.932480309380141	7.7040348093706665	8.259871867776824e-19	3.763197622959121e-15
Both	CBA/J_F	PAM_0000141x793	14	0.9360416039399261	14.956600156523066	1.1256223242181792e-18	5.128335309138024e-15
Both	CBA/J_F	MPATH:793	14	0.9360416039399261	14.956600156523066	1.1256223242181792e-18	5.128335309138024e-15
Strain	A/J	MPATH:811	34	14.816467963683184	2.2947439351495778	1.2694942015595036e-18	5.783815582305098e-15
Strain	PWD/PhJ	MPATH:44	24	3.5292902060711087	6.80023421103627	1.290916984973021e-18	5.881417783537083e-15
Strain	RIIIS/J	PAM_0001459x803	24	2.6334694958082117	9.113452818877024	1.5363047983220479e-18	6.99940466115525e-15
Strain	BALB/cByJ	MPATH:754	14	1.5427801868476134	9.074526701439183	2.004606366436914e-18	9.13298660548658e-15
Strain	BALB/cByJ	PAM_0000141x754	14	1.5427801868476134	9.074526701439183	2.004606366436914e-18	9.13298660548658e-15
Strain	KK/HlJ	PAM_0000129x594	44	10.281158906995406	4.279673176733213	2.224524200745074e-18	1.0134932258594558e-14
Both	MRL/MpJ_M	PAM_0001247x613	52	9.716479776547546	5.351732437658262	2.5350188856904233e-18	1.1549546043205568e-14
Both	MRL/MpJ_M	MPATH:613	52	9.965737936784935	5.217877524960867	2.5350188856904233e-18	1.1549546043205568e-14
Both	BTBR T<+> tf/J_F	PAM_0001551x474	18	0.9364281604976926	19.221976398524117	3.1263600020665175e-18	1.4243696169415053e-14
Strain	MRL/MpJ	PAM_0000124x181	24	3.0897041588237384	7.767733985617862	3.2640832160969064e-18	1.4871163132537505e-14
Both	129S1/SvImJ_F	PAM_0001459x590	30	5.50566742709831	5.448930651412613	3.546799175793861e-18	1.615921704491683e-14
Both	C57L/J_M	MPATH:555	44	12.070640590328491	3.6452083607935992	4.1082642119403426e-18	1.87172517496002e-14
Both	KK/HlJ_F	MA:0000061	16	1.6914568085048907	9.45930154382286	4.203682051306173e-18	1.9151975425750925e-14
Both	DBA/2J_F	MA:0001876	28	4.216957657267729	6.63985799139892	4.712658746864251e-18	2.147087325071353e-14
Strain	RIIIS/J	MPATH:803	24	2.955809707241721	8.119602537741216	4.713881883623147e-18	2.147644586178706e-14
Both	C57L/J_M	MPATH:642	36	3.8366199528312475	9.383259338322961	4.781645906501508e-18	2.1785178750020873e-14
Strain	C57BL/10J	MPATH:34	52	13.523087006103651	3.8452758587244005	4.912091642036561e-18	2.2379489521118572e-14
Both	KK/HlJ_M	PAM_0000129x820	10	0.21218488518191783	47.128710376455174	5.264524410936614e-18	2.3985173216227215e-14
Both	KK/HlJ_M	MPATH:820	10	0.21218488518191783	47.128710376455174	5.264524410936614e-18	2.3985173216227215e-14
Strain	KK/HlJ	MPATH:594	44	10.494036699373856	4.192857454236398	5.82502208733674e-18	2.6538800629906188e-14
Sex	F	MPATH:637	58	29.365765765765765	1.9750889679715302	6.2076105784014544e-18	2.8281873795197027e-14
Both	SJL/J_F	PAM_0000276x14	22	5.696455936082852	3.86205041289729	6.396538004493853e-18	2.9142627148473994e-14
Both	129S1/SvImJ_F	MPATH:590	30	5.617165275094674	5.340772174358777	6.454605279667757e-18	2.94071816541663e-14
Both	KK/HlJ_F	PAM_0001296x474	12	0.31580342903488695	37.99832078034325	6.734668625101505e-18	3.068315025596246e-14
Both	A/J_F	PAM_0000165x14	68	21.416501511356326	3.1751217613176586	6.800073906524693e-18	3.09811367181265e-14
Both	NON/ShiLtJ_F	PAM_0002703x213	22	0.7391555481597867	29.763694603621047	7.308846039816344e-18	3.3299102557403264e-14
Both	RIIIS/J_M	PAM_0001324x268	10	0.21621621621621623	46.25	7.83151460705458e-18	3.568038054974067e-14
Strain	SJL/J	MPATH:644	30	11.622581695809684	2.5811821147117398	7.936581102401165e-18	3.6159063502539705e-14
Strain	NOD.B10Sn-H2<b>/J	PAM_0001247x613	46	13.570942722006642	3.389595029784217	8.142855539139116e-18	3.709884983631781e-14
Strain	NOD.B10Sn-H2<b>/J	MPATH:613	46	13.7786578555378	3.3384964255798018	8.142855539139116e-18	3.709884983631781e-14
Strain	C57L/J	MA:0000176	20	1.9522976982917637	10.244339281606361	8.429801744213802e-18	3.840617674663808e-14
Strain	C57L/J	PAM_0000176x270	20	1.9166893896864223	10.434658900716341	8.429801744213802e-18	3.840617674663808e-14
Both	MRL/MpJ_M	MA:0000124	45	13.49370000281381	3.3348896144583215	8.742525611626314e-18	3.983094668656949e-14
Both	LP/J_F	PAM_0000253x215	16	0.9304405806821416	17.196154523129017	9.054963522989997e-18	4.1254413810742425e-14
Both	C57BR/cdJ_M	MA:0000338	20	2.5590410868098745	7.815427467376929	1.1716680186430978e-17	5.338119492937953e-14
Both	KK/HlJ_F	MA:0001876	36	6.533687645692726	5.509905271295402	1.474582206504613e-17	6.718196532835017e-14
Strain	PWD/PhJ	PAM_0000403x44	12	0.4972972972972973	24.130434782608695	1.696536295852917e-17	7.729419363905891e-14
Strain	129S1/SvImJ	MA:0002417	44	24.83724960723444	1.7715327057462897	1.9048995490624095e-17	8.678722345528338e-14
Strain	LP/J	MA:0000253	80	22.31166651508619	3.585568112803561	2.153634259358016e-17	9.81195768563512e-14
Strain	LP/J	PAM_0000253x215	20	1.9202283423731852	10.415427977321833	2.230583147589619e-17	1.0162536820418304e-13
Both	A/J_F	MPATH:591	88	25.19164966755882	3.493221014157092	2.477890433917945e-17	1.1289268816930157e-13
Both	MRL/MpJ_F	PAM_0001247x613	50	18.46840114776806	2.707326941836684	3.102832098568155e-17	1.4136503041076513e-13
